Count,Count %,Survived,Pclass,Sex,Age,Age Group,Survival Status,Count % Age Sex,Count % Age Pclass
1,0.292397661,0,3,male,22,Young,Lost,0.32,0.29
1,0.292397661,1,1,female,38,Young,Survived,0.57,1.06
1,0.292397661,1,3,female,26,Young,Survived,0.57,0.69
1,0.292397661,1,1,female,35,Young,Survived,0.57,1.06
1,0.292397661,0,3,male,35,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,1,male,54,Senior,Lost,0.98,0.82
1,0.292397661,0,3,male,2,Child,Lost,2.56,0.29
1,0.292397661,1,3,female,27,Young,Survived,0.57,0.69
1,0.292397661,1,2,female,14,Child,Survived,2.63,1.32
1,0.292397661,1,3,female,4,Child,Survived,2.63,0.69
1,0.292397661,1,1,female,58,Senior,Survived,2.08,1.06
1,0.292397661,0,3,male,20,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,39,Young,Lost,0.32,0.29
1,0.292397661,0,3,female,14,Child,Lost,2.63,0.69
1,0.292397661,1,2,female,55,Senior,Survived,2.08,1.32
1,0.292397661,0,3,male,2,Child,Lost,2.56,0.29
1,0.292397661,1,2,male,,NA,Survived,0.81,0.93
1,0.292397661,0,3,female,31,Young,Lost,0.57,0.69
1,0.292397661,1,3,female,,NA,Survived,1.89,0.69
1,0.292397661,0,2,male,35,Young,Lost,0.32,0.93
1,0.292397661,1,2,male,34,Young,Survived,0.32,0.93
1,0.292397661,1,3,female,15,Young,Survived,0.57,0.69
1,0.292397661,1,1,male,28,Young,Survived,0.32,0.82
1,0.292397661,0,3,female,8,Child,Lost,2.63,0.69
1,0.292397661,1,3,female,38,Young,Survived,0.57,0.69
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,1,male,19,Young,Lost,0.32,0.82
1,0.292397661,1,3,female,,NA,Survived,1.89,0.69
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,1,male,40,Young,Lost,0.32,0.82
1,0.292397661,1,1,female,,NA,Survived,1.89,1.06
1,0.292397661,1,3,female,,NA,Survived,1.89,0.69
1,0.292397661,0,2,male,66,Senior,Lost,0.98,0.93
1,0.292397661,0,1,male,28,Young,Lost,0.32,0.82
1,0.292397661,0,1,male,42,Senior,Lost,0.98,0.82
1,0.292397661,1,3,male,,NA,Survived,0.81,0.29
1,0.292397661,0,3,male,21,Young,Lost,0.32,0.29
1,0.292397661,0,3,female,18,Young,Lost,0.57,0.69
1,0.292397661,1,3,female,14,Child,Survived,2.63,0.69
1,0.292397661,0,3,female,40,Young,Lost,0.57,0.69
1,0.292397661,0,2,female,27,Young,Lost,0.57,1.32
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,1,2,female,3,Child,Survived,2.63,1.32
1,0.292397661,1,3,female,19,Young,Survived,0.57,0.69
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,1,3,female,,NA,Survived,1.89,0.69
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,3,female,18,Young,Lost,0.57,0.69
1,0.292397661,0,3,male,7,Child,Lost,2.56,0.29
1,0.292397661,0,3,male,21,Young,Lost,0.32,0.29
1,0.292397661,1,1,female,49,Senior,Survived,2.08,1.06
1,0.292397661,1,2,female,29,Young,Survived,0.57,1.32
1,0.292397661,0,1,male,65,Senior,Lost,0.98,0.82
1,0.292397661,1,1,male,,NA,Survived,0.81,0.82
1,0.292397661,1,2,female,21,Young,Survived,0.57,1.32
1,0.292397661,0,3,male,28.5,Young,Lost,0.32,0.29
1,0.292397661,1,2,female,5,Child,Survived,2.63,1.32
1,0.292397661,0,3,male,11,Child,Lost,2.56,0.29
1,0.292397661,0,3,male,22,Young,Lost,0.32,0.29
1,0.292397661,1,1,female,38,Young,Survived,0.57,1.06
1,0.292397661,0,1,male,45,Senior,Lost,0.98,0.82
1,0.292397661,0,3,male,4,Child,Lost,2.56,0.29
1,0.292397661,0,1,male,,NA,Lost,0.81,0.82
1,0.292397661,1,3,male,,NA,Survived,0.81,0.29
1,0.292397661,1,2,female,29,Young,Survived,0.57,1.32
1,0.292397661,0,3,male,19,Young,Lost,0.32,0.29
1,0.292397661,1,3,female,17,Young,Survived,0.57,0.69
1,0.292397661,0,3,male,26,Young,Lost,0.32,0.29
1,0.292397661,0,2,male,32,Young,Lost,0.32,0.93
1,0.292397661,0,3,female,16,Young,Lost,0.57,0.69
1,0.292397661,0,2,male,21,Young,Lost,0.32,0.93
1,0.292397661,0,3,male,26,Young,Lost,0.32,0.29
1,0.292397661,1,3,male,32,Young,Survived,0.32,0.29
1,0.292397661,0,3,male,25,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,1,2,male,0.83,Child,Survived,2.56,0.93
1,0.292397661,1,3,female,30,Young,Survived,0.57,0.69
1,0.292397661,0,3,male,22,Young,Lost,0.32,0.29
1,0.292397661,1,3,male,29,Young,Survived,0.32,0.29
1,0.292397661,1,3,female,,NA,Survived,1.89,0.69
1,0.292397661,0,1,male,28,Young,Lost,0.32,0.82
1,0.292397661,1,2,female,17,Young,Survived,0.57,1.32
1,0.292397661,1,3,female,33,Young,Survived,0.57,0.69
1,0.292397661,0,3,male,16,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,1,1,female,23,Young,Survived,0.57,1.06
1,0.292397661,0,3,male,24,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,29,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,20,Young,Lost,0.32,0.29
1,0.292397661,0,1,male,46,Senior,Lost,0.98,0.82
1,0.292397661,0,3,male,26,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,59,Senior,Lost,0.98,0.29
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,1,male,71,Senior,Lost,0.98,0.82
1,0.292397661,1,1,male,23,Young,Survived,0.32,0.82
1,0.292397661,1,2,female,34,Young,Survived,0.57,1.32
1,0.292397661,0,2,male,34,Young,Lost,0.32,0.93
1,0.292397661,0,3,female,28,Young,Lost,0.57,0.69
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,1,male,21,Young,Lost,0.32,0.82
1,0.292397661,0,3,male,33,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,37,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,28,Young,Lost,0.32,0.29
1,0.292397661,1,3,female,21,Young,Survived,0.57,0.69
1,0.292397661,1,3,male,,NA,Survived,0.81,0.29
1,0.292397661,0,3,male,38,Young,Lost,0.32,0.29
1,0.292397661,1,3,female,,NA,Survived,1.89,0.69
1,0.292397661,0,1,male,47,Senior,Lost,0.98,0.82
1,0.292397661,0,3,female,14.5,Young,Lost,0.57,0.69
1,0.292397661,0,3,male,22,Young,Lost,0.32,0.29
1,0.292397661,0,3,female,20,Young,Lost,0.57,0.69
1,0.292397661,0,3,female,17,Young,Lost,0.57,0.69
1,0.292397661,0,3,male,21,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,70.5,Senior,Lost,0.98,0.29
1,0.292397661,0,2,male,29,Young,Lost,0.32,0.93
1,0.292397661,0,1,male,24,Young,Lost,0.32,0.82
1,0.292397661,0,3,female,2,Child,Lost,2.63,0.69
1,0.292397661,0,2,male,21,Young,Lost,0.32,0.93
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,2,male,32.5,Young,Lost,0.32,0.93
1,0.292397661,1,2,female,32.5,Young,Survived,0.57,1.32
1,0.292397661,0,1,male,54,Senior,Lost,0.98,0.82
1,0.292397661,1,3,male,12,Child,Survived,2.56,0.29
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,1,3,male,24,Young,Survived,0.32,0.29
1,0.292397661,1,3,female,,NA,Survived,1.89,0.69
1,0.292397661,0,3,male,45,Senior,Lost,0.98,0.29
1,0.292397661,0,3,male,33,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,20,Young,Lost,0.32,0.29
1,0.292397661,0,3,female,47,Senior,Lost,2.08,0.69
1,0.292397661,1,2,female,29,Young,Survived,0.57,1.32
1,0.292397661,0,2,male,25,Young,Lost,0.32,0.93
1,0.292397661,0,2,male,23,Young,Lost,0.32,0.93
1,0.292397661,1,1,female,19,Young,Survived,0.57,1.06
1,0.292397661,0,1,male,37,Young,Lost,0.32,0.82
1,0.292397661,0,3,male,16,Young,Lost,0.32,0.29
1,0.292397661,0,1,male,24,Young,Lost,0.32,0.82
1,0.292397661,0,3,female,,NA,Lost,1.89,0.69
1,0.292397661,1,3,female,22,Young,Survived,0.57,0.69
1,0.292397661,1,3,female,24,Young,Survived,0.57,0.69
1,0.292397661,0,3,male,19,Young,Lost,0.32,0.29
1,0.292397661,0,2,male,18,Young,Lost,0.32,0.93
1,0.292397661,0,2,male,19,Young,Lost,0.32,0.93
1,0.292397661,1,3,male,27,Young,Survived,0.32,0.29
1,0.292397661,0,3,female,9,Child,Lost,2.63,0.69
1,0.292397661,0,2,male,36.5,Young,Lost,0.32,0.93
1,0.292397661,0,2,male,42,Senior,Lost,0.98,0.93
1,0.292397661,0,2,male,51,Senior,Lost,0.98,0.93
1,0.292397661,1,1,female,22,Young,Survived,0.57,1.06
1,0.292397661,0,3,male,55.5,Senior,Lost,0.98,0.29
1,0.292397661,0,3,male,40.5,Senior,Lost,0.98,0.29
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,1,male,51,Senior,Lost,0.98,0.82
1,0.292397661,1,3,female,16,Young,Survived,0.57,0.69
1,0.292397661,0,3,male,30,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,3,male,44,Senior,Lost,0.98,0.29
1,0.292397661,1,2,female,40,Young,Survived,0.57,1.32
1,0.292397661,0,3,male,26,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,17,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,1,Child,Lost,2.56,0.29
1,0.292397661,1,3,male,9,Child,Survived,2.56,0.29
1,0.292397661,1,1,female,,NA,Survived,1.89,1.06
1,0.292397661,0,3,female,45,Senior,Lost,2.08,0.69
1,0.292397661,0,1,male,,NA,Lost,0.81,0.82
1,0.292397661,0,3,male,28,Young,Lost,0.32,0.29
1,0.292397661,0,1,male,61,Senior,Lost,0.98,0.82
1,0.292397661,0,3,male,4,Child,Lost,2.56,0.29
1,0.292397661,1,3,female,1,Child,Survived,2.63,0.69
1,0.292397661,0,3,male,21,Young,Lost,0.32,0.29
1,0.292397661,0,1,male,56,Senior,Lost,0.98,0.82
1,0.292397661,0,3,male,18,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,1,female,50,Senior,Lost,2.08,1.06
1,0.292397661,0,2,male,30,Young,Lost,0.32,0.93
1,0.292397661,0,3,male,36,Young,Lost,0.32,0.29
1,0.292397661,0,3,female,,NA,Lost,1.89,0.69
1,0.292397661,0,2,male,,NA,Lost,0.81,0.93
1,0.292397661,0,3,male,9,Child,Lost,2.56,0.29
1,0.292397661,1,2,male,1,Child,Survived,2.56,0.93
1,0.292397661,1,3,female,4,Child,Survived,2.63,0.69
1,0.292397661,0,1,male,,NA,Lost,0.81,0.82
1,0.292397661,1,3,female,,NA,Survived,1.89,0.69
1,0.292397661,1,1,male,45,Senior,Survived,0.98,0.82
1,0.292397661,0,3,male,40,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,36,Young,Lost,0.32,0.29
1,0.292397661,1,2,female,32,Young,Survived,0.57,1.32
1,0.292397661,0,2,male,19,Young,Lost,0.32,0.93
1,0.292397661,1,3,female,19,Young,Survived,0.57,0.69
1,0.292397661,1,2,male,3,Child,Survived,2.56,0.93
1,0.292397661,1,1,female,44,Senior,Survived,2.08,1.06
1,0.292397661,1,1,female,58,Senior,Survived,2.08,1.06
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,3,male,42,Senior,Lost,0.98,0.29
1,0.292397661,1,3,female,,NA,Survived,1.89,0.69
1,0.292397661,0,2,female,24,Young,Lost,0.57,1.32
1,0.292397661,0,3,male,28,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,3,male,34,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,45.5,Senior,Lost,0.98,0.29
1,0.292397661,1,3,male,18,Young,Survived,0.32,0.29
1,0.292397661,0,3,female,2,Child,Lost,2.63,0.69
1,0.292397661,0,3,male,32,Young,Lost,0.32,0.29
1,0.292397661,1,3,male,26,Young,Survived,0.32,0.29
1,0.292397661,1,3,female,16,Young,Survived,0.57,0.69
1,0.292397661,1,1,male,40,Young,Survived,0.32,0.82
1,0.292397661,0,3,male,24,Young,Lost,0.32,0.29
1,0.292397661,1,2,female,35,Young,Survived,0.57,1.32
1,0.292397661,0,3,male,22,Young,Lost,0.32,0.29
1,0.292397661,0,2,male,30,Young,Lost,0.32,0.93
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,1,1,female,31,Young,Survived,0.57,1.06
1,0.292397661,1,3,female,27,Young,Survived,0.57,0.69
1,0.292397661,0,2,male,42,Senior,Lost,0.98,0.93
1,0.292397661,1,1,female,32,Young,Survived,0.57,1.06
1,0.292397661,0,2,male,30,Young,Lost,0.32,0.93
1,0.292397661,1,3,male,16,Young,Survived,0.32,0.29
1,0.292397661,0,2,male,27,Young,Lost,0.32,0.93
1,0.292397661,0,3,male,51,Senior,Lost,0.98,0.29
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,1,1,male,38,Young,Survived,0.32,0.82
1,0.292397661,0,3,male,22,Young,Lost,0.32,0.29
1,0.292397661,1,2,male,19,Young,Survived,0.32,0.93
1,0.292397661,0,3,male,20.5,Young,Lost,0.32,0.29
1,0.292397661,0,2,male,18,Young,Lost,0.32,0.93
1,0.292397661,0,3,female,,NA,Lost,1.89,0.69
1,0.292397661,1,1,female,35,Young,Survived,0.57,1.06
1,0.292397661,0,3,male,29,Young,Lost,0.32,0.29
1,0.292397661,0,2,male,59,Senior,Lost,0.98,0.93
1,0.292397661,1,3,female,5,Child,Survived,2.63,0.69
1,0.292397661,0,2,male,24,Young,Lost,0.32,0.93
1,0.292397661,0,3,female,,NA,Lost,1.89,0.69
1,0.292397661,0,2,male,44,Senior,Lost,0.98,0.93
1,0.292397661,1,2,female,8,Child,Survived,2.63,1.32
1,0.292397661,0,2,male,19,Young,Lost,0.32,0.93
1,0.292397661,0,2,male,33,Young,Lost,0.32,0.93
1,0.292397661,0,3,female,,NA,Lost,1.89,0.69
1,0.292397661,1,3,female,,NA,Survived,1.89,0.69
1,0.292397661,0,2,male,29,Young,Lost,0.32,0.93
1,0.292397661,0,3,male,22,Young,Lost,0.32,0.29
1,0.292397661,0,3,male,30,Young,Lost,0.32,0.29
1,0.292397661,0,1,male,44,Senior,Lost,0.98,0.82
1,0.292397661,0,3,female,25,Young,Lost,0.57,0.69
1,0.292397661,1,2,female,24,Young,Survived,0.57,1.32
1,0.292397661,1,1,male,37,Young,Survived,0.32,0.82
1,0.292397661,0,2,male,54,Senior,Lost,0.98,0.93
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,0,3,female,29,Young,Lost,0.57,0.69
1,0.292397661,0,1,male,62,Senior,Lost,0.98,0.82
1,0.292397661,0,3,male,30,Young,Lost,0.32,0.29
1,0.292397661,0,3,female,41,Senior,Lost,2.08,0.69
1,0.292397661,1,3,female,29,Young,Survived,0.57,0.69
1,0.292397661,1,1,female,,NA,Survived,1.89,1.06
1,0.292397661,1,1,female,30,Young,Survived,0.57,1.06
1,0.292397661,1,1,female,35,Young,Survived,0.57,1.06
1,0.292397661,1,2,female,50,Senior,Survived,2.08,1.32
1,0.292397661,0,3,male,,NA,Lost,0.81,0.29
1,0.292397661,1,3,male,3,Child,Survived,2.56,0.29
1,0.292397661,0,1,male,52,Senior,Lost,0.98,0.82
1,0.292397661,0,1,male,40,Young,Lost,0.32,0.82
1,0.292397661,0,3,female,,NA,Lost,1.89,0.69
1,0.292397661,0,2,male,36,Young,Lost,0.32,0.93
1,0.292397661,0,3,male,16,Young,Lost,0.32,0.29
1,0.292397661,1,3,male,25,Young,Survived,0.32,0.29
1,0.292397661,1,1,female,58,Senior,Survived,2.08,1.06
1,0.292397661,1,1,female,35,Young,Survived,0.57,1.06
1,0.292397661,0,1,male,,NA,Lost,0.81,0.82
1,0.292397661,1,3,male,25,Young,Survived,0.32,0.29
1,0.292397661,1,2,female,41,Senior,Survived,2.08,1.32
1,0.292397661,0,1,male,37,Young,Lost,0.32,0.82
1,0.292397661,1,3,female,,NA,Survived,1.89,0.69
1,0.292397661,1,1,female,63,Senior,Survived,2.08,1.06
1,0.292397661,0,3,female,45,Senior,Lost,2.08,0.69
1,0.292397661,0,2,male,,NA,Lost,0.81,0.93
1,0.292397661,0,3,male,7,Child,Lost,2.56,0.29
